Clasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200- 1Hilo,200- 2Hilos,200- 4Hilos,200- 6Hilos,200- 8Hilos,400- 1Hilos,400- 2Hilos,400- 4Hilos,400- 6Hilos,400 -8Hilos,800- 1Hilos,800- 2Hilos,800- 4Hilos,800- 6Hilos,800 -8Hilos,1000- 1Hilos,1000- 2Hilos,1000- 4Hilos,1000- 6Hilos,1000 -8Hilos,1400- 1Hilos,1200- 2Hilos,1200- 4Hilos,1200- 6Hilos,1200 -8Hilos,1400- 1Hilos,1400- 2Hilos,1400- 4Hilos,1400- 6Hilos,1400 -8Hilos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456737,515531,151817,678101,198646,341299,336844,710664,852280,803739,1987407,1676181,1601088,1522210,1475977,3480408,3046118,2031583,2229852,1745273,5654921,4560899,2947798,2995227,2315838,9101172,6507832,3668724,3304767,3719930
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496090,540002,167541,694571,215012,606175,469300,836271,951341,889973,1767930,1858265,1411650,1180372,825807,3817219,2107442,1300859,1570012,1392798,6622526,4487780,3376220,2102471,2270606,9018300,6849629,4509212,3137457,3426028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531133,561723,182018,713365,231602,900797,627971,957492,1042892,983197,2627632,1969649,1213082,831488,1169144,4309315,2245296,1726478,1840349,1160128,6305295,4104952,2569041,2323439,1950856,8941477,7105767,4341780,3080656,2886816
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576301,585603,196248,731934,248804,1178681,797797,1078864,116957,1067473,2315764,2127154,827362,1492986,516402,3783869,2418327,2070541,1822899,1334899,6292215,3723292,3053022,2530872,1920787,10511965,5581744,4223930,3583604,3695143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613680,608169,211023,751044,267873,435375,956689,196084,219922,159589,2011522,1267443,1501959,1150869,1102726,4249991,2624387,1342495,2169705,1473979,5931113,4491855,2283520,2797351,2883083,9522792,6274703,3872420,3693454,3709684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653138,632547,228518,771158,283260,675550,1120430,315307,324585,253838,1863053,1409747,1192335,809434,698852,3510540,2472480,1658107,1409450,1583959,6917743,3886159,2711601,2303004,2616680,9567857,6726373,4695908,3911968,3017951
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695927,654837,245566,788632,298887,904861,269137,432876,424617,352288,2558735,1557535,925133,1455391,1327780,3777548,2623260,2149387,1723178,1700497,6895103,4449674,3023926,2546329,1848782,9502018,6602952,4523064,4318333,2964836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
